Date,Close/Last,Volume,Open,High,Low
09/18/2024,99.59,48897050,100.24,100.7266,99.54
09/17/2024,100.84,31699370,101.47,101.64,100.74
09/16/2024,101.33,30866260,100.63,101.37,100.41
09/13/2024,100.41,25722140,100.46,100.61,100.02
09/12/2024,100.14,41812530,100.36,100.55,99.69
09/11/2024,100.61,39497050,100.49,101.235,100.35
09/10/2024,100.69,31703410,99.87,100.91,99.82
09/09/2024,99.99,26961400,99.40,100.10,99.16
09/06/2024,99.56,57406400,99.55,100.78,99.1901
09/05/2024,99.57,47450880,99.34,99.6787,98.775
09/04/2024,99.01,40885160,97.88,99.03,97.81
09/03/2024,97.75,48947900,97.56,98.06,97.42
08/30/2024,96.49,42896190,97.68,97.985,96.47
08/29/2024,97.53,24988240,97.37,97.64,97.125
08/28/2024,97.85,18501410,98.01,98.20,97.725
08/27/2024,97.97,21507650,97.49,98.08,97.41
08/26/2024,98.14,23198710,98.69,98.6975,98.08
08/23/2024,98.39,32005080,98.19,98.67,97.96
08/22/2024,97.75,33453850,98.23,98.30,97.43
08/21/2024,98.73,29229980,98.67,99.20,98.21
08/20/2024,98.67,25239300,98.32,98.855,98.12
08/19/2024,97.89,25322140,97.42,98.155,97.405
08/16/2024,97.44,28540970,97.44,97.5399,97.01
08/15/2024,97.10,38723700,96.405,97.10,96.21
08/14/2024,97.89,31334060,97.55,98.16,97.5082
08/13/2024,97.28,30366940,97.30,97.36,96.98
08/12/2024,96.61,24261380,96.03,96.82,95.88
08/09/2024,96.26,32141760,96.51,96.54,96.0906
08/08/2024,95.32,37815770,95.115,95.40,94.84
08/07/2024,95.91,51337130,95.95,96.45,95.50
08/06/2024,96.59,61316860,98.15,98.41,96.59
08/05/2024,98.80,90686310,99.69,99.935,97.90
08/02/2024,98.28,91912940,97.00,98.37,96.8901
08/01/2024,95.31,77254240,95.14,95.905,95.12
07/31/2024,94.81,47445290,94.53,94.84,94.24
07/30/2024,93.85,28169820,93.75,94.05,93.30
07/29/2024,93.49,25801350,93.67,93.69,93.22
07/26/2024,92.99,34423770,92.95,93.15,92.71
07/25/2024,92.27,44999070,92.025,92.86,91.96
07/24/2024,91.52,50757120,92.59,92.85,91.47
07/23/2024,92.52,23497990,92.81,93.03,92.49
07/22/2024,92.65,36160370,93.40,93.52,92.30
07/19/2024,92.92,32164670,93.04,93.16,92.82
07/18/2024,93.47,34553080,93.68,94.14,93.38
07/17/2024,94.19,29036840,93.92,94.40,93.69
07/16/2024,94.17,36383720,93.53,94.21,93.39
07/15/2024,92.86,37918850,93.00,93.30,92.78
07/12/2024,93.94,27796480,93.53,93.94,93.34
07/11/2024,93.54,49761790,93.68,94.135,93.47
07/10/2024,92.64,23572470,92.45,92.68,92.2603
07/09/2024,92.35,30304140,92.47,92.675,91.87
07/08/2024,92.76,16095650,92.54,92.845,92.2246
07/05/2024,92.56,34895510,92.27,92.725,91.90
07/03/2024,91.80,35563310,91.17,91.89,91.085
07/02/2024,90.61,34204720,90.68,90.805,90.08
07/01/2024,89.91,49735380,90.42,91.08,89.82
06/28/2024,91.78,55119550,93.73,93.765,91.78
06/27/2024,93.52,23140770,93.52,93.71,93.42
06/26/2024,93.15,38489140,93.28,93.465,93.11
06/25/2024,94.50,23160000,94.07,94.55,94.04
06/24/2024,94.34,56939100,94.05,94.34,93.735
06/21/2024,93.96,22830880,94.24,94.479,93.59
06/20/2024,93.96,30246270,93.41,94.00,93.34
06/18/2024,94.59,26881040,93.89,94.60,93.73
06/17/2024,93.73,31040200,93.52,93.81,93.28
06/14/2024,94.67,28776710,94.42,94.84,94.24
06/13/2024,93.88,33093760,93.22,93.99,92.95
06/12/2024,92.52,42554580,93.02,93.57,92.485
06/11/2024,91.83,30329210,91.032,91.87,90.9223
06/10/2024,90.89,20593240,91.00,91.06,90.65
06/07/2024,91.50,35240480,91.83,91.83,91.40
06/06/2024,93.21,22891860,92.92,93.43,92.86
06/05/2024,93.35,43153860,93.00,93.35,92.3887
06/04/2024,92.67,42581460,92.20,92.80,91.99
06/03/2024,91.60,42272090,90.64,91.67,90.61
05/31/2024,90.45,41308830,90.48,90.66,90.25
05/30/2024,89.84,29571650,89.60,89.97,89.44
05/29/2024,88.98,45508380,89.34,89.395,88.68
05/28/2024,90.07,45973740,91.33,91.36,90.03
05/24/2024,91.38,19164430,90.97,91.47,90.90
05/23/2024,91.11,51294660,91.80,91.80,90.82
05/22/2024,91.70,38073720,91.27,91.7799,91.26
05/21/2024,91.59,15334430,91.73,91.77,91.43
05/20/2024,91.12,17922810,91.08,91.315,91.01
05/17/2024,91.39,24755010,91.64,91.80,91.34
05/16/2024,92.01,37902430,92.39,92.4205,91.94
05/15/2024,92.10,65142890,91.87,92.255,91.63
05/14/2024,90.86,25746390,90.65,90.9199,90.42
05/13/2024,90.35,23157500,90.55,90.61,90.31
05/10/2024,90.12,21913760,90.28,90.38,89.96
05/09/2024,90.63,39606720,89.87,90.77,89.82
05/08/2024,90.19,31171660,90.31,90.46,90.16
05/07/2024,90.74,30525830,90.90,91.24,90.6141
05/06/2024,90.19,23868190,89.87,90.25,89.67
05/03/2024,89.84,50066080,89.93,90.12,89.27
05/02/2024,88.94,58925390,88.21,89.01,88.025
05/01/2024,88.56,59679510,88.60,89.21,88.24
04/30/2024,88.22,41054670,88.42,88.73,88.095
04/29/2024,88.98,39228620,88.66,89.015,88.48
04/26/2024,88.24,31589820,88.245,88.605,88.05
04/25/2024,87.78,49282640,87.46,87.90,87.34
04/24/2024,88.40,48986760,88.56,88.63,87.50
04/23/2024,89.03,27222720,88.73,89.54,88.55
04/22/2024,89.00,24969050,88.68,89.12,88.645
04/19/2024,89.15,44826770,89.39,89.39,88.905
04/18/2024,88.83,43839450,89.24,89.27,88.59
04/17/2024,89.28,57946990,88.87,89.375,88.46
04/16/2024,88.30,45103240,88.05,88.58,87.785
