Date,Close/Last,Volume,Open,High,Low
05/16/2024,451.98,34780410,452.71,454.69,451.81
05/15/2024,452.90,41464650,448.43,453.15,446.90
05/14/2024,445.93,34478320,442.65,446.465,442.46
05/13/2024,443.08,22994190,443.99,444.09,441.65
05/10/2024,442.06,27116570,442.54,444.31,440.499
05/09/2024,441.02,24580120,440.33,441.60,438.46
05/08/2024,440.06,24896720,437.67,441.48,437.55
05/07/2024,440.32,30996090,440.70,441.97,439.58
05/06/2024,440.25,30227200,437.30,440.34,436.52
05/03/2024,435.48,48515250,434.44,436.48,432.62
05/02/2024,426.90,36559010,425.30,427.81,420.63
05/01/2024,421.52,52251710,423.15,430.14,420.66
04/30/2024,424.59,43665930,431.15,432.56,424.51
04/29/2024,432.75,30022160,433.13,433.76,429.98
04/26/2024,431.00,41874910,427.62,432.55,426.92
04/25/2024,424.45,57392170,419.24,425.32,418.14
04/24/2024,426.51,48440310,428.20,429.73,424.20
04/23/2024,425.07,44384740,420.77,426.28,418.8715
04/22/2024,418.82,47807660,417.31,421.18,413.94
04/19/2024,414.65,75230990,422.22,422.75,413.07
04/18/2024,423.41,46549360,426.49,428.24,422.83
04/17/2024,425.84,56880540,433.10,433.12,424.90
04/16/2024,431.10,47618960,430.90,433.76,429.70
04/15/2024,431.06,63453620,442.06,442.15,430.21
04/12/2024,438.27,53665000,441.10,442.24,436.88
04/11/2024,445.37,45474550,440.26,446.33,437.96
04/10/2024,438.37,61502190,437.00,439.24,436.28
04/09/2024,442.23,39521570,442.96,443.24,437.44
04/08/2024,440.60,28144940,441.41,442.50,439.20
04/05/2024,440.47,54744630,436.78,443.17,435.96
04/04/2024,435.34,57267660,446.33,446.95,435.11
04/03/2024,442.10,39949750,438.96,444.00,438.95
04/02/2024,441.11,44259670,440.08,441.43,438.03
04/01/2024,444.95,38728950,444.97,447.53,443.02
03/28/2024,444.01,36839640,444.78,445.64,443.65
03/27/2024,444.83,41359240,446.44,446.54,441.93
03/26/2024,443.32,34142040,446.30,447.225,443.09
03/25/2024,444.76,27789150,443.55,446.26,442.54
03/22/2024,446.38,28253900,445.35,447.49,444.49
03/21/2024,445.87,39345650,448.88,449.34,445.67
03/20/2024,443.77,43653490,439.78,444.11,438.06
03/19/2024,438.57,43004110,435.45,438.98,433.33
